no_bon,id_pelanggan,tanggal_bon,kota,id_produk,jumlah_terjual,diskon,rating,Komplain,nama_pelanggan,gender,tanggal_lahir,jenis_barang,merek_barang,harga_satuan,modal
BON01147,PEL01270,1/1/2021,Jakarta,PRD00003,26,0,2,no,Dedi ROZ,L,7/13/1997,Mouse,SteelSeries,450000.0,358724.0
BON03411,PEL01359,1/1/2021,Depok,PRD00024,16,15,3,no,Rina GJW,P,10/28/1998,Keyboard,Kyocera,850000.0,759960.0
BON03446,PEL00001,1/1/2021,Depok,PRD00038,18,5,5,no,Joko TFQ,L,5/8/2005,Speaker,Bose,1400000.0,929872.0
BON03998,PEL01328,1/1/2021,Bogor,PRD00022,10,10,3,no,Joko QVG,L,6/10/1992,Keyboard,Lexmark,550000.0,477099.0
BON05264,PEL01906,1/1/2021,Tangerang,PRD00043,28,15,1,yes,Lia YSP,P,9/17/1975,Speaker,Simbadda,1000000.0,619214.0
BON05786,PEL00728,1/1/2021,Bandung,PRD00002,13,5,4,no,Dedi YXV,L,2/12/1994,Mouse,Razer,125000.0,87603.0
BON07501,PEL01732,1/1/2021,Jakarta,PRD00011,24,5,3,no,Lia TFK,P,5/25/1982,Monitor,Acer,1000000.0,747733.0
BON02164,PEL00644,1/2/2021,Tangerang,PRD00032,28,0,5,no,Sari AMT,P,7/16/2000,Printer,Lexmark,2500000.0,1828761.0
BON02384,PEL01492,1/2/2021,Depok,PRD00013,13,0,1,yes,Lia TMA,P,9/4/1978,Monitor,Gigabyte,1100000.0,754049.0
BON03630,PEL00935,1/2/2021,Jakarta,PRD00042,17,10,1,yes,Tina IYL,P,1/21/1996,Speaker,Robot,1500000.0,1241712.0
BON03767,PEL01986,1/2/2021,Bogor,PRD00040,20,15,5,no,Tina WGM,P,8/27/1995,Speaker,Harman Kardon,500000.0,359780.0
BON06835,PEL01627,1/2/2021,Bekasi,PRD00020,22,10,4,no,Lia URD,P,12/8/2005,Keyboard,Samsung,600000.0,501505.0
BON08778,PEL00876,1/2/2021,Jakarta,PRD00006,22,10,3,no,Sari VRV,P,3/18/1991,Monitor,LG,1900000.0,1147364.0
BON09184,PEL01347,1/2/2021,Bekasi,PRD00033,14,15,4,no,Rudi BYP,L,3/6/1990,Printer,Ricoh,1800000.0,1412073.0
BON00856,PEL01035,1/3/2021,Tangerang,PRD00042,25,5,5,no,Agus EXK,L,6/16/2000,Speaker,Robot,1500000.0,1241712.0
BON01380,PEL01478,1/3/2021,Depok,PRD00005,25,5,5,no,Tina KFW,P,9/8/1970,Mouse,Microsoft,225000.0,178221.0
BON02045,PEL01839,1/3/2021,Depok,PRD00028,12,0,3,no,Budi PDC,L,4/28/1997,Printer,HP,2800000.0,1776707.0
,PEL00532,1/3/2021,Jakarta,PRD00041,29,15,5,no,Agus KWN,L,9/1/2001,Speaker,Advance,900000.0,624242.0
BON07321,PEL01771,1/3/2021,Bekasi,PRD00038,28,15,3,no,Tina EVC,P,10/14/1984,Speaker,Bose,1400000.0,929872.0
BON09336,PEL01946,1/3/2021,Jakarta,PRD00002,15,15,1,yes,Joko NSW,L,10/11/1996,Mouse,Razer,125000.0,87603.0
BON09781,PEL01422,1/3/2021,Jakarta,PRD00013,14,5,4,no,Budi FGJ,L,8/8/1980,Monitor,Gigabyte,1100000.0,754049.0
BON02962,PEL01701,1/4/2021,Bandung,PRD00040,18,10,2,no,Agus YCY,L,6/25/1990,Speaker,Harman Kardon,500000.0,359780.0
BON03410,PEL00168,1/4/2021,Bekasi,PRD00029,19,5,2,no,Dewi QNC,P,8/23/1973,Printer,Brother,900000.0,607976.0
BON03521,PEL01698,1/4/2021,Bekasi,PRD00005,18,15,3,no,Tina EUJ,P,12/9/1995,Mouse,Microsoft,225000.0,178221.0
BON06523,PEL01050,1/4/2021,Bogor,PRD00007,21,10,3,no,Dedi CBE,L,9/1/1993,Monitor,Dell,1850000.0,1578030.0
BON09688,PEL00976,1/4/2021,Bandung,PRD00024,14,0,1,yes,Tina ESZ,P,12/3/1987,Keyboard,Kyocera,850000.0,759960.0
BON03257,,1/5/2021,Depok,PRD00010,19,10,2,no,,,,Monitor,BenQ,1950000.0,1409393.0
BON05508,PEL01527,1/5/2021,Tangerang,PRD00041,22,10,4,no,Dedi SKB,L,5/17/1999,Speaker,Advance,900000.0,624242.0
BON07415,PEL00726,1/5/2021,Depok,PRD00026,20,0,3,no,Lia HNK,P,7/3/1970,Printer,Canon,1800000.0,1375032.0
BON07737,PEL01055,1/5/2021,Tangerang,PRD00015,17,5,3,no,Joko EMI,L,1/5/1998,Monitor,ViewSonic,1950000.0,1227395.0
BON09009,PEL00392,1/5/2021,Bogor,PRD00003,19,15,2,no,Budi XJL,L,9/8/1979,Mouse,SteelSeries,450000.0,358724.0
BON07623,PEL00536,1/6/2021,Bandung,PRD00041,19,15,5,no,Budi HXO,L,10/18/1971,Speaker,Advance,900000.0,624242.0
BON08259,PEL01489,1/6/2021,Bekasi,PRD00031,28,15,5,no,Budi VNN,L,2/18/1985,Printer,Xerox,2700000.0,1999288.0
