no_bon,id_pelanggan,tanggal_bon,kota,id_produk,jumlah_terjual,diskon,rating,Komplain,nama_pelanggan,gender,tanggal_lahir,jenis_barang,merek_barang,harga_satuan,modal,tahun_lahir,generasi,profit_per_item,total_profit,total_revenue
BON00001,PEL01266,2024-06-10,Bogor,PRD00050,29,0,5,no,Agus DDD,L,1982-03-22,Laptop,MSI,19750000.0,17633164.0,1982,Milenial,2116836.0,61388244.0,572750000.0
BON00002,PEL00591,2024-10-21,Tangerang,PRD00009,30,5,3,no,Tina JQQ,P,1998-11-26,Monitor,Samsung,1600000.0,1139107.0,1998,Gen Z,460893.0,13826790.0,48000000.0
BON00003,PEL01531,2021-05-23,Depok,PRD00030,29,10,3,no,Sari XNX,P,2002-03-25,Printer,Samsung,2700000.0,1800182.0,2002,Gen Z,899818.0,26094722.0,78300000.0
BON00004,PEL00914,2021-10-23,Bekasi,PRD00031,20,0,4,no,Tina DZU,P,1993-12-18,Printer,Xerox,2700000.0,1999288.0,1993,Milenial,700712.0,14014240.0,54000000.0
BON00005,PEL01554,2023-11-10,Jakarta,PRD00023,15,0,4,no,Tina LWC,P,1991-03-09,Keyboard,Ricoh,450000.0,375091.0,1991,Milenial,74909.0,1123635.0,6750000.0
BON00006,PEL00105,2022-12-11,Depok,PRD00028,44,25,2,no,Joko FCG,L,1979-03-06,Printer,HP,2800000.0,1776707.0,1979,Gen X,1023293.0,45024892.0,123200000.0
BON00007,PEL01281,2022-10-16,Bogor,PRD00039,21,5,5,no,Joko PLY,L,1991-09-13,Speaker,Logitech,900000.0,573618.0,1991,Milenial,326382.0,6854022.0,18900000.0
BON00008,PEL00328,2024-08-28,Bekasi,PRD00016,26,5,4,no,Joko KPJ,L,1982-05-21,Keyboard,Canon,1100000.0,902572.0,1982,Milenial,197428.0,5133128.0,28600000.0
BON00010,PEL00411,2021-06-19,Bandung,PRD00023,21,10,3,no,Sari YCR,P,1987-01-24,Keyboard,Ricoh,450000.0,375091.0,1987,Milenial,74909.0,1573089.0,9450000.0
BON00012,PEL00015,2024-11-19,Jakarta,PRD00067,21,15,5,no,Dedi HOI,L,1983-06-02,PC Rakitan,MJ013,24000000.0,20554678.0,1983,Milenial,3445322.0,72351762.0,504000000.0
BON00013,PEL01346,2024-09-05,Bekasi,PRD00050,17,15,2,no,Sari IDN,P,1986-03-25,Laptop,MSI,19750000.0,17633164.0,1986,Milenial,2116836.0,35986212.0,335750000.0
BON00015,PEL01339,2023-08-05,Bogor,PRD00025,11,5,2,no,Lia IYL,P,1972-04-05,Keyboard,Panasonic,400000.0,287728.0,1972,Gen X,112272.0,1234992.0,4400000.0
